stimuli_0,attendedInst,trigger,attendedOddballs,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,oddballsMinusResp,participant,date,expName,
Data/wea/Set7-oddball test mix - Keyb attended.wav,Keyb,Trigger Files/trigger_Set7-oddball test mix - Keyb attended.wav,2.0,0,0,0,10,-1.0,wea,2023-02-13_15h14.55.033,Part 2,
Data/wea/Set1-oddball test mix - Keyb attended.wav,Keyb,Trigger Files/trigger_Set1-oddball test mix - Keyb attended.wav,2.0,0,1,1,0,-1.0,wea,2023-02-13_15h14.55.033,Part 2,
